COMER,TNCC,NCC,NCCENR,LIBELLE
975,0,SAINT PIERRE ET MIQUELON,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon
977,0,SAINT BARTHELEMY,Saint-Barthélemy,Saint-Barthélemy
978,0,SAINT MARTIN,Saint-Martin,Saint-Martin
984,4,TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,Terres australes et antarctiques françaises,Terres australes et antarctiques françaises
986,0,WALLIS ET FUTUNA,Wallis-et-Futuna,Wallis-et-Futuna
987,0,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
988,0,NOUVELLE CALEDONIE,Nouvelle-Calédonie,Nouvelle-Calédonie
989,0,LA PASSION CLIPPERTON,La Passion-Clipperton,La Passion-Clipperton
