nom,SIREN,type,COG,COG_3digits,code_departement,code_departement_3digits,code_region,population,EPCI,url-ptf,url-datagouv,id-datagouv,merge,ptf,trancheEffectifsUniteLegale,EffectifsSup50
Aude,221100019,DEP,11,011,,,76,379094,,https://opendata.aude.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Aude,https://www.data.gouv.fr/fr/organizations/60acaf1821f0f41bc0ffdc0d/,60acaf1821f0f41bc0ffdc0d,ptf+datagouv,"Aude, DataGouv",51.0,True
Aveyron,221200017,DEP,12,012,,,76,289488,,,,,,,42.0,True
Bouches-du-Rhône,221300015,DEP,13,013,,,93,2048504,,,,,,,52.0,True
Calvados,221401185,DEP,14,014,,,28,708344,,,https://www.data.gouv.fr/fr/organizations/5bd96f848b4c415ecb7a9a8b/,5bd96f848b4c415ecb7a9a8b,datagouv,DataGouv,51.0,True
Cantal,221500010,DEP,15,015,,,84,150185,,,https://www.data.gouv.fr/fr/organizations/534fff69a3a7292c64a77d94,534fff69a3a7292c64a77d94,datagouv,DataGouv,42.0,True
Charente,221600018,DEP,16,016,,,75,361539,,https://data16.lacharente.fr/search?collection=Dataset,,,ptf,Charente,51.0,True
Charente-Maritime,221700016,DEP,17,017,,,75,659968,,,https://www.data.gouv.fr/fr/organizations/59b6449a88ee38073588ac9d,59b6449a88ee38073588ac9d,datagouv,DataGouv,51.0,True
Cher,221800014,DEP,18,018,,,24,311456,,,,,,,42.0,True
Corrèze,221927205,DEP,19,019,,,75,249135,,,,,,,42.0,True
Côte-d'Or,222100018,DEP,21,021,,,27,545798,,https://trouver.ternum-bfc.fr/organization/conseil-departemental-de-cote-dor,https://www.data.gouv.fr/fr/organizations/63455a51b009d9b28d09a465/,63455a51b009d9b28d09a465,ptf+datagouv,"Bourgogne-Franche-Comté, DataGouv",51.0,True
Côtes-d'Armor,222200016,DEP,22,022,,,53,617107,,http://datarmor.cotesdarmor.fr/web/guest/donnees,https://www.data.gouv.fr/fr/organizations/54aff788c751df39e138127d,54aff788c751df39e138127d,ptf+datagouv,"Dat'Armor, DataGouv",51.0,True
Creuse,222309627,DEP,23,023,,,75,122133,,,,,,,42.0,True
Dordogne,222400012,DEP,24,024,,,75,424095,,,,,,,51.0,True
Doubs,222500019,DEP,25,025,,,27,552643,,https://opendata.doubs.fr/explore/?refine.publisher=CD25,https://www.data.gouv.fr/fr/organizations/5bd2e3918b4c413473d1b144/,5bd2e3918b4c413473d1b144,ptf+datagouv,"Doubs, DataGouv",51.0,True
Drôme,222600017,DEP,26,026,,,84,524574,,,,,,,51.0,True
Eure,222702292,DEP,27,027,,,28,614926,,https://opendata.eure.fr/search,,,ptf,Eure,51.0,True
Eure-et-Loir,222800013,DEP,28,028,,,24,443538,,https://data.eurelien.fr/explore/?refine.publisher=CD28,https://www.data.gouv.fr/fr/organizations/58b3e7e588ee3814c598d150,58b3e7e588ee3814c598d150,ptf+datagouv,"Eurelien, DataGouv",51.0,True
Finistère,222900011,DEP,29,029,,,53,933992,,https://opendata.finistere.fr/explore/?refine.publisher=D%C3%A9partement+du+Finist%C3%A8re,https://www.data.gouv.fr/fr/organizations/5a86b30588ee38553adbaa6e/,5a86b30588ee38553adbaa6e,ptf+datagouv,"Finistère, DataGouv",51.0,True
Gard,223000019,DEP,30,030,,,76,757764,,,https://www.data.gouv.fr/fr/organizations/5fd1e3ddd8016453bf402e4b/,5fd1e3ddd8016453bf402e4b,datagouv,DataGouv,51.0,True
Haute-Garonne,223100017,DEP,31,031,,,76,1385122,,https://data.haute-garonne.fr/explore/?refine.publisher=Conseil+départemental+de+la+Haute-Garonne,https://www.data.gouv.fr/fr/organizations/582a045088ee3875cec65bb4,582a045088ee3875cec65bb4,ptf+datagouv,"Haute-Garonne, DataGouv",52.0,True
Gers,223200015,DEP,32,032,,,76,197953,,https://data.gers.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Département+du+Gers,https://www.data.gouv.fr/fr/organizations/5d2485a58b4c417f5f478a9f/,56f3b0a6c751df13e653faef,ptf+datagouv,"Gers, DataGouv",42.0,True
Gironde,223300013,DEP,33,033,,,75,1607545,,,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d83/,534fff67a3a7292c64a77d83,datagouv,DataGouv,52.0,True
Hérault,223400011,DEP,34,034,,,76,1162867,,https://www.herault-data.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Conseil+D%C3%A9partemental+de+l%27H%C3%A9rault,https://www.data.gouv.fr/fr/organizations/59087a45c751df5a2a2c425f/,59087a45c751df5a2a2c425f,ptf+datagouv,"Hérault, DataGouv",52.0,True
Ille-et-Vilaine,223500018,DEP,35,035,,,53,1084554,,,https://www.data.gouv.fr/fr/organizations/5d15cbed8b4c411740bae4bc/,5d15cbed8b4c411740bae4bc,datagouv,DataGouv,51.0,True
Indre,223600016,DEP,36,036,,,24,227999,,,https://www.data.gouv.fr/fr/organizations/5a82f34188ee380c10423e48/,5a82f34188ee380c10423e48,datagouv,DataGouv,42.0,True
Indre-et-Loire,223700014,DEP,37,037,,,24,618820,,https://data-cd37.opendata.arcgis.com/search,https://www.data.gouv.fr/fr/organizations/5733002788ee384aabd1b934/,5733002788ee384aabd1b934,ptf+datagouv,"Indre-et-Loire, DataGouv",51.0,True
Isère,223800012,DEP,38,038,,,84,1283384,,https://opendata.isere.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Is%C3%A8re,https://www.data.gouv.fr/fr/organizations/5bb1c7e4634f412a95dff6b9/,5bb1c7e4634f412a95dff6b9,ptf+datagouv,"Isère, DataGouv",51.0,True
Jura,223900010,DEP,39,039,,,27,269344,,https://trouver.ternum-bfc.fr/organization/departement-du-jura,,,ptf,Bourgogne-Franche-Comté,42.0,True
Landes,224000018,DEP,40,040,,,75,419709,,,,,,,51.0,True
Loir-et-Cher,224100016,DEP,41,041,,,24,340499,,https://departement41-centrevaldeloire.opendatasoft.com/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.features&sort=explore.popularity_score&refine.publisher=CD41,https://www.data.gouv.fr/fr/organizations/534fff68a3a7292c64a77d8a,534fff68a3a7292c64a77d8a,ptf+datagouv,"Centre Val-de-Loire, DataGouv",42.0,True
Loire,224200014,DEP,42,042,,,84,777328,,,,,,,51.0,True
Haute-Loire,224300012,DEP,43,043,,,84,234190,,,https://www.data.gouv.fr/fr/organizations/602bd31ea61a18a27736a6f1/,602bd31ea61a18a27736a6f1,datagouv,DataGouv,42.0,True
Loire-Atlantique,224400028,DEP,44,044,,,52,1423152,,https://data.loire-atlantique.fr/explore/?refine.publisher=Département+de+Loire-Atlantique,https://www.data.gouv.fr/fr/organizations/534fff6fa3a7292c64a77dc1/,534fff6fa3a7292c64a77dc1,ptf+datagouv,"Loire-Atlantique, DataGouv",52.0,True
Loiret,224500017,DEP,45,045,,,24,692540,,,https://www.data.gouv.fr/fr/organizations/57d90ef4c751df44fb79df72/,57d90ef4c751df44fb79df72,datagouv,DataGouv,51.0,True
Lot,224600015,DEP,46,046,,,76,179556,,,https://www.data.gouv.fr/fr/organizations/5ac5c34488ee386e5ad2bb40/,5ac5c34488ee386e5ad2bb40,datagouv,DataGouv,42.0,True
Lot-et-Garonne,224700013,DEP,47,047,,,75,341270,,,,,,,42.0,True
Lozère,224800011,DEP,48,048,,,76,80240,,,,,,,41.0,True
Maine-et-Loire,224900019,DEP,49,049,,,52,833154,,https://data.maine-et-loire.fr/explore/?q=&disjunctive.diffuseur&disjunctive.publisher&source=shared&sort=modified&geonav=world%2Fworld_fr%2Ffr_40_52%2Ffr_60_49&geonav-asc&refine.publisher=D%C3%A9partement+de+Maine-et-Loire,https://www.data.gouv.fr/fr/organizations/5e32cef58b4c411011bd3bab/,5e32cef58b4c411011bd3bab,ptf+datagouv,"Maine-et-Loire, DataGouv",51.0,True
Manche,225005024,DEP,50,050,,,28,512923,,,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d87,534fff67a3a7292c64a77d87,ptf+datagouv,,51.0,True
Marne,225100015,DEP,51,051,,,44,580671,,,,,,,42.0,True
Haute-Marne,225200013,DEP,52,052,,,44,180753,,,,,,,42.0,True
Mayenne,225300011,DEP,53,053,,,52,316750,,,https://www.data.gouv.fr/fr/organizations/5aeab860c751df3bca98b623/,5aeab860c751df3bca98b623,datagouv,DataGouv,42.0,True
Meurthe-et-Moselle,225400019,DEP,54,054,,,44,745300,,,https://www.data.gouv.fr/fr/organizations/5bc74634634f4144ed36741c/,5bc74634634f4144ed36741c,datagouv,DataGouv,51.0,True
Meuse,225500016,DEP,55,055,,,44,192588,,,https://www.data.gouv.fr/fr/organizations/62a9e172655001b5fe4761cb/,62a9e172655001b5fe4761cb,datagouv,DataGouv,42.0,True
Morbihan,225600014,DEP,56,056,,,53,771911,,,https://www.data.gouv.fr/fr/organizations/5c924c1c8b4c41159d78d937/,5c924c1c8b4c41159d78d937,datagouv,DataGouv,51.0,True
Moselle,225700012,DEP,57,057,,,44,1062217,,http://www.moselleopendata.fr/datas,,,ptf,,51.0,True
Nièvre,225800010,DEP,58,058,,,27,212742,,https://trouver.ternum-bfc.fr/dataset?_organization_limit=0&organization=direction-departementale-des-territoires-de-la-nievre-ddt-58,https://www.data.gouv.fr/fr/organizations/59367c42c751df5751fcc925,59367c42c751df5751fcc925,ptf+datagouv,"Bourgogne-Franche-Comté, DataGouv",42.0,True
Nord,225900018,DEP,59,059,,,32,2635255,,https://geonord-lenord.opendata.arcgis.com,,,ptf,GéoNord,53.0,True
Oise,226000016,DEP,60,060,,,32,841948,,http://opendata.oise.fr/donnees/,https://www.data.gouv.fr/fr/organizations/534fff67a3a7292c64a77d7d,534fff67a3a7292c64a77d7d,ptf+datagouv,"Oise, DataGouv",51.0,True
Orne,226100014,DEP,61,061,,,28,291557,,,,,,,42.0,True
Pas-de-Calais,226200012,DEP,62,062,,,32,1489983,,,https://www.data.gouv.fr/fr/organizations/639af60107ee6640d345efa7/,639af60107ee6640d345efa7,datagouv,DataGouv,52.0,True
Puy-de-Dôme,226300010,DEP,63,063,,,84,668301,,https://www.puy-de-dome.fr/open-data.html,,,ptf,Puy-de-Dôme,51.0,True
Pyrénées-Atlantiques,226400018,DEP,64,064,,,75,695965,,https://data.le64.fr/explore/?refine.publisher=D%C3%A9partement+des+Pyr%C3%A9n%C3%A9es-Atlantiques,,,ptf,Pyrénées-Atlantiques,51.0,True
Hautes-Pyrénées,226500015,DEP,65,065,,,76,234591,,https://opendata.ha-py.fr/explore/?refine.publisher=D%C3%A9partement+des+Hautes-Pyr%C3%A9n%C3%A9es,https://www.data.gouv.fr/fr/organizations/5c3f1ca2634f411d2aef4ddb/,5c3f1ca2634f411d2aef4ddb,ptf+datagouv,"Hautes-Pyrénées, DataGouv",42.0,True
Pyrénées-Orientales,226600013,DEP,66,066,,,76,482368,,,https://www.data.gouv.fr/fr/organizations/5ab9f242c751df2f936031d6,5ab9f242c751df2f936031d6,datagouv,DataGouv,51.0,True
Alsace,226700011,DEP,67A,67A,,,44,1141511,,,https://www.data.gouv.fr/fr/organizations/5abcf3c688ee386e18f7f79c/,5abcf3c688ee386e18f7f79c,datagouv,DataGouv,,False
Alsace,226800019,DEP,67A,67A,,,44,777917,,,,,,,,False
Rhône,226900017,DEP,69,069,,,84,467273,,,,,,,42.0,True
Métropole de Lyon,200046977,DEP,691,691,,,84,1402326,,https://data.grandlyon.com/recherche?responsibleParty.organisationName=M%C3%A9tropole%20de%20Lyon,https://www.data.gouv.fr/fr/organizations/534fff7aa3a7292c64a77e0c,534fff7aa3a7292c64a77e0c,ptf+datagouv,"Métropole de Lyon, DataGouv",52.0,True
Haute-Saône,227000015,DEP,70,070,,,27,243264,,,,,,,42.0,True
Saône-et-Loire,227100013,DEP,71,071,,,27,569531,,https://trouver.ternum-bfc.fr/organization/departement-de-saone-et-loire,https://www.data.gouv.fr/fr/organizations/534fff68a3a7292c64a77d8d,534fff68a3a7292c64a77d8d,ptf+datagouv,"Bourgogne-Franche-Comté, DataGouv",51.0,True
Sarthe,227200029,DEP,72,072,,,52,579650,,https://data.sarthe.fr/explore/?q=&source=shared&sort=modified&geonav=world%2Fworld_fr%2Ffr_40_52%2Ffr_60_72&geonav-asc&refine.publisher=D%C3%A9partement+de+la+Sarthe,,,ptf,Sarthe,51.0,True
Savoie,227300019,DEP,73,073,,,84,443787,,,https://www.data.gouv.fr/fr/organizations/59f843bcc751df5a1b4776b6,59f843bcc751df5a1b4776b6,datagouv,DataGouv,51.0,True
Haute-Savoie,227400017,DEP,74,074,,,84,828417,,,,,,,51.0,True
Paris,217500016,DEP,75,075,,,11,2204773,,https://opendata.paris.fr/explore/?sort=modified,https://www.data.gouv.fr/fr/organizations/534fff89a3a7292c64a77eb7,534fff89a3a7292c64a77eb7,ptf+datagouv,"Paris, DataGouv",53.0,True
Seine-Maritime,227605409,DEP,76,076,,,28,1275559,,https://www.opendata76.fr,,,ptf,Seine-Maritime,52.0,True
Seine-et-Marne,227700010,DEP,77,077,,,11,1420469,,,https://www.data.gouv.fr/fr/organizations/5c13da1f8b4c41461f8a544c/,5c13da1f8b4c41461f8a544c,datagouv,DataGouv,51.0,True
Yvelines,227806460,DEP,78,078,,,11,1463091,,,,,,,51.0,True
Deux-Sèvres,227900016,DEP,79,079,,,75,384479,,,https://www.data.gouv.fr/fr/organizations/59ba4600c751df6bbdb72c11,59ba4600c751df6bbdb72c11,datagouv,DataGouv,42.0,True
Somme,228000014,DEP,80,080,,,32,582464,,,https://www.data.gouv.fr/fr/organizations/5919a313c751df1c22411168,5919a313c751df1c22411168,datagouv,DataGouv,51.0,True
Tarn,228100012,DEP,81,081,,,76,398412,,,,,,,51.0,True
Tarn-et-Garonne,228200010,DEP,82,082,,,76,264130,,,,,,,42.0,True
Var,228300018,DEP,83,083,,,93,1075653,,https://trouver.datasud.fr/organization/conseil-departemental-du-var,,,ptf,Data Sud,52.0,True
Vaucluse,228400016,DEP,84,084,,,93,570762,,https://trouver.datasud.fr/organization/conseil-departemental-de-vaucluse,,,ptf,Data Sud,51.0,True
Vendée,228500013,DEP,85,085,,,52,693455,,,,,,,51.0,True
Vienne,228600011,DEP,86,086,,,75,447150,,,https://www.data.gouv.fr/fr/organizations/59bfe09988ee3809d96507cb/,59bfe09988ee3809d96507cb,datagouv,DataGouv,42.0,True
Haute-Vienne,228708517,DEP,87,087,,,75,381379,,,,,,,42.0,True
Vosges,228800017,DEP,88,088,,,44,378986,,,,,,,42.0,True
Yonne,228900015,DEP,89,089,,,27,346902,,https://trouver.ternum-bfc.fr/organization/conseil-departemental-de-lyonne,,,ptf,,42.0,True
Territoire de Belfort,229000013,DEP,90,090,,,27,145640,,,,,,,41.0,True
Essonne,229102280,DEP,91,091,,,11,1310599,,,,,,,51.0,True
Hauts-de-Seine,229200506,DEP,92,092,,,11,1625917,,https://opendata.hauts-de-seine.fr/explore/?refine.publisher=D%C3%A9partement+des+Hauts-de-Seine,https://www.data.gouv.fr/fr/organizations/544e1b0888ee38289ae1ed05,544e1b0888ee38289ae1ed05,ptf+datagouv,"Hauts-de-Seine, DataGouv",52.0,True
Seine-Saint-Denis,229300082,DEP,93,093,,,11,1630133,,http://data.seine-saint-denis.fr/spip.php?page=data2_rubrique,https://www.data.gouv.fr/fr/organizations/5457bc26c751df7378225d2e,5457bc26c751df7378225d2e,ptf+datagouv,"Seine-Saint-Denis, DataGouv",52.0,True
Val-de-Marne,229400288,DEP,94,094,,,11,1397035,,,,,,,52.0,True
Val-d'Oise,229501275,DEP,95,095,,,11,1239262,,,,,,,51.0,True
Guadeloupe,229710017,DEP,971,971,,,1,396153,,,,,,,51.0,True
La Réunion,229740014,DEP,974,974,,,4,863063,,,,,,,52.0,True
Mayotte,229850003,DEP,976,976,,,6,262895,,,,,,,,False
Ambérieu-en-Bugey,210100046,COM,01004,,01,001,84,14428,240100883.0,,,,,,32.0,True
Bâgé-Dommartin,200077220,COM,01025,,01,001,84,4200,200071371.0,,,,,,21.0,True
Bellignat,210100319,COM,01031,,01,001,84,3859,200042935.0,,,,,,21.0,True
Valserhône,200083863,COM,01033,,01,001,84,16804,240100891.0,,,,,,32.0,True
Belley,210100343,COM,01034,,01,001,84,9499,200040350.0,,,,,,22.0,True
Beynost,210100434,COM,01043,,01,001,84,4721,240100800.0,,https://www.data.gouv.fr/fr/organizations/6163f19e65890e747465a0c5/,6163f19e65890e747465a0c5,datagouv,DataGouv,22.0,True
Bourg-en-Bresse,210100533,COM,01053,,01,001,84,43306,200071751.0,,,,,,42.0,True
Cessy,210100715,COM,01071,,01,001,84,4972,240100750.0,,,,,,21.0,True
Châtillon-sur-Chalaronne,210100939,COM,01093,,01,001,84,5060,200069193.0,,,,,,21.0,True
Dagneux,210101424,COM,01142,,01,001,84,4772,240100610.0,,,,,,21.0,True
Divonne-les-Bains,210101432,COM,01143,,01,001,84,9878,240100750.0,,,,,,31.0,True
Ferney-Voltaire,210101606,COM,01160,,01,001,84,9928,240100750.0,,,,,,31.0,True
Gex,210101739,COM,01173,,01,001,84,13375,240100750.0,,,,,,31.0,True
Plateau d'Hauteville,200086122,COM,01185,,01,001,84,5031,200042935.0,,,,,,22.0,True
