nom,SIREN,type,code_departement,code_departement_3digits,code_region,population
CC Meuse Rognon,200069664,CC,52,052,44,11250
CC Centre Tarn,200034049,CC,81,081,76,11251
CC du Triangle Vert,200041861,CC,70,070,27,11253
CC Mézenc-Loire-Meygal,200073401,CC,43,043,84,11372
CC des Terres d'Apcher-Margeride-Aubrac,200069185,CC,48,048,76,11400
CC des Coteaux du Val-d'Arros,200070803,CC,65,065,76,11443
CC Champsaur-Valgaudemar,200068096,CC,05,005,93,11449
CC Écueillé-Valençay,200040558,CC,36,036,24,11449
CC Dronne et Belle,200041572,CC,24,024,75,11461
CC Entre Saône et Grosne,247103765,CC,71,071,27,11542
CC Bastides de Lomagne,200034726,CC,32,032,76,11559
CC de la Région de Bar-sur-Aube,241000405,CC,10,010,44,11597
CC du Pays de Colombey et du Sud Toulois,245400510,CC,"54,88","54,88",44,11644
CC Ouest Limousin,200066520,CC,87,087,75,11654
CC Alpes-Provence-Verdon - Sources de Lumière,200068625,CC,04,004,93,11700
CC Cœur du Perche,200068435,CC,61,061,28,11756
"CC d'Arcis,Mailly,Ramerupt",200071777,CC,10,010,44,11783
CC Fercher Pays Florentais,241800457,CC,18,018,24,11803
CC Xaintrie Val'Dordogne,200066751,CC,19,019,75,11810
CC du Sartenais Valinco Taravo,242010130,CC,2A,02A,94,11824
CC Jura Nord,243900560,CC,39,039,27,11848
CC Sud Côte Chalonnaise,247104094,CC,71,071,27,11861
CC Hautes Terres Communauté,200066637,CC,15,015,84,11887
CC du Diois,242600534,CC,26,026,84,11995
CC Côte Landes Nature,244000857,CC,40,040,75,12015
CC de Vezouze en Piémont,200069433,CC,54,054,44,12020
CC Berry Grand Sud,200049484,CC,18,018,24,12053
CC Côtes de Champagne et Val de Saulx,200067379,CC,51,051,44,12077
CC Isle Double Landais,200040384,CC,24,024,75,12118
CC Rahin et Chérimont,247000821,CC,70,070,27,12161
CC de Noblat,248719361,CC,87,087,75,12172
CC de Montaigne Montravel et Gurson,200034197,CC,24,024,75,12225
CC Conques-Marcillac,241200641,CC,12,012,76,12296
CC du Massif du Vercors,243801024,CC,38,038,84,12302
CC de Calvi Balagne,242020105,CC,2B,02B,94,12309
CC de l'Argonne Champenoise,200042703,CC,51,051,44,12315
CC Saône Doubs Bresse,200040038,CC,71,071,27,12409
CC des Montagnes du Giffre,200034098,CC,74,074,84,12437
CC de Mimizan,244000543,CC,40,040,75,12460
CC des Vosges côté Sud Ouest,200068773,CC,88,088,44,12464
CC Val Guiers,247300528,CC,73,073,84,12467
CC Creuse Grand Sud,200044014,CC,23,023,75,12550
CC de la Castagniccia-Casinca,200073252,CC,2B,02B,94,12595
CC du Pays de Saint-Yrieix,248700189,CC,"19,87","19,87",75,12601
CC de la Vallée de Saint-Amarin,246800205,CC,68,068,44,12613
CC des Coteaux et Landes de Gascogne,244701355,CC,47,047,75,12633
CC des Sources de l'Orne,200035111,CC,61,061,28,12657
CC de la Pieve de l'Ornano et du Taravo,200038958,CC,2A,02A,94,12672
CC des Collines du Perche Normand,200071504,CC,61,061,28,12774
CC Mirebellois et Fontenois,200072825,CC,21,021,27,12829
CC du Bonnevalais,242852465,CC,28,028,24,12831
CC Haut Nivernais-Val d'Yonne,200067429,CC,"58,89","58,89",27,12943
CC du Bassin de Joinville en Champagne,200044253,CC,52,052,44,12952
CC Dômes Sancy Artense,200069169,CC,63,063,84,12970
CC du Haut-Chablais,247400682,CC,74,074,84,12983
CC du Pays Riolais,247000706,CC,70,070,27,12987
CC Sidobre Vals et Plateaux,200066561,CC,81,081,76,13000
CC Morvan Sommets et Grands Lacs,200067890,CC,58,058,27,13064
CC Val Eyrieux,200041465,CC,07,007,84,13103
CC de Fium'orbu Castellu,200033827,CC,2B,02B,94,13145
CC Chavanon Combrailles et Volcans,200071215,CC,63,063,84,13162
CC Pays de Nexon Monts de Chalus,200070506,CC,87,087,75,13299
CC Midi Corrézien,200066769,CC,19,019,75,13400
CC de la Vallée de Chamonix-Mont-Blanc,200023372,CC,74,074,84,13462
CC du Grand Armagnac,243200458,CC,32,032,76,13499
CC des Cévennes Gangeoises et Suménoises,243400736,CC,"30,34","30,34",76,13533
CC Andaine - Passais,200068443,CC,61,061,28,13546
CC Terres de Saône,200041879,CC,70,070,27,13562
CC de la Région de Rambervillers,200005957,CC,88,088,44,13570
CC d'Aire-sur-l'Adour,200030435,CC,"32,40","32,40","75,76",13604
"CC du Pays de Rouffach,Vignobles et Châteaux",246800494,CC,68,068,44,13737
CC des Vallées de la Tille et de l'Ignon,242100154,CC,21,021,27,13754
CC Val de l'Indre - Brenne,243600301,CC,36,036,24,13853
CC Marche et Combraille en Aquitaine,200067593,CC,23,023,75,13870
CC Isle-Loue-Auvézère en Périgord,242401024,CC,24,024,75,14057
CC du Bocage Bourbonnais,200071496,CC,03,003,84,14094
CC du Pays entre Loire et Rhône,244200630,CC,42,042,84,14134
CC Sauldre et Sologne,200000933,CC,18,018,24,14161
CC du Pays de Meslay-Grez,245300223,CC,53,053,52,14258
CC Pyrénées Audoises,200043776,CC,11,011,76,14289
CC Creuse Sud Ouest,200067189,CC,23,023,75,14315
CC du Pays de Mortagne-au-Perche,200036069,CC,61,061,28,14327
CC Val de Charente,200043016,CC,16,016,75,14338
CC du Clunisois,200040293,CC,71,071,27,14417
"CC Saint Affricain,Roquefort,Sept Vallons",200067155,CC,12,012,76,14513
CC du Val Marnaysien,200041887,CC,"25,70","25,70",27,14517
CC Isle et Crempse-en-Périgord,200069094,CC,24,024,75,14553
CC de Gémozac et de la Saintonge Viticole,241700632,CC,17,017,75,14562
CC Périgord-Limousin,242400752,CC,24,024,75,14600
CC du Pays du Saintois,200035772,CC,54,054,44,14633
CC Terres de Perche,200070167,CC,28,028,24,14718
CC du Pays de la Serre,240200469,CC,02,002,32,14798
CC de la Vallée du Lot et du Vignoble,244600433,CC,46,046,76,14864
CC du Lautrécois et du Pays d'Agout,200034056,CC,81,081,76,14878
CC Rives de l'Ain - Pays du Cerdon,200029999,CC,01,001,84,14887
CC des Causses à l'Aubrac,200068484,CC,12,012,76,14988
CC Lodévois et Larzac,200017341,CC,34,034,76,15031
CC du Grand Saint-Émilionnais,200035533,CC,33,033,75,15035
CC de la Tenarèze,243200417,CC,32,032,76,15060
CC du Minervois au Caroux,200066348,CC,34,034,76,15140
CC du Pays Solesmois,245901038,CC,59,059,32,15169
CC des Vallées d'Auge et du Merlerault,200069458,CC,61,061,28,15171
CC de la Grande Vallée de la Marne,245100615,CC,51,051,44,15202
CC de Haute-Cornouaille,242900561,CC,29,029,53,15222
CC Cœur de Maurienne Arvan,200070464,CC,73,073,84,15266
CC Campagne-de-Caux,247600505,CC,76,076,28,15319
CC du Pays d'Olmes,240900464,CC,09,009,76,15349
CC de l'Agglomération Migennoise,248900383,CC,89,089,27,15374
CC Chablis Villages et Terroirs,200067080,CC,89,089,27,15385
CC des Gorges de l'Ardèche,200039808,CC,07,007,84,15460
CC du Pays de Luxeuil,247000755,CC,70,070,27,15504
CC du Périgord Nontronnais,200071819,CC,24,024,75,15516
CC Bruyères-Vallons des Vosges,200042000,CC,88,088,44,15566
CC des Monts du Pilat,244200622,CC,42,042,84,15567
CC La Clayette Chauffailles en Brionnais,200070548,CC,71,071,27,15574
CC des Sources du Lac d'Annecy,247400773,CC,74,074,84,15612
CC du Centre du Haut-Rhin,246800445,CC,68,068,44,15666
CC des Ballons des Hautes-Vosges,200033868,CC,88,088,44,15667
CC Fier et Usses,247400567,CC,74,074,84,15686
CC Terre Lorraine du Longuyonnais,200043693,CC,54,054,44,15718
CC du Bassin de Marennes,241700699,CC,17,017,75,15727
CC Cap Sizun - Pointe du Raz,242900629,CC,29,029,53,15737
CC des Portes de Sologne,200005932,CC,45,045,24,15748
CC des Vosges du Sud,200069060,CC,90,090,27,15781
CC Bazois Loire Morvan,200067882,CC,58,058,27,15811
CC du Crestois et de Pays de Saillans Cœur de Drôme,200040509,CC,26,026,84,15831
CC des Savoir-Faire,200070332,CC,"52,70","52,70","27,44",15832
CC Pyrénées Vallées des Gaves,200070811,CC,65,065,76,15887
CC du Pays de la Châtaigneraie,248500415,CC,85,085,52,15954
CC des Vallées de la Braye et de l'Anille,200072692,CC,72,072,52,15963
CC de la Vallée de l'Homme,200041168,CC,24,024,75,16010
CC de l'Estuaire,243300811,CC,33,033,75,16038
CC du Canton de Charly-sur-Marne,240200584,CC,02,002,32,16042
CC de Villedieu Intercom,200043354,CC,50,050,28,16046
CC Cœur Haute Lande,200069656,CC,40,040,75,16047
CC du Pays de Cruseilles,247400112,CC,74,074,84,16047
CC de Nozay,244400537,CC,44,044,52,16080
CC Pyrénées Haut Garonnaises,200072635,CC,31,031,76,16138
CC Norge et Tille,200069540,CC,21,021,27,16152
CC du Pays de la Zorn,246700959,CC,67,067,44,16197
CC Piège Lauragais Malepère,200035707,CC,11,011,76,16247
CC Poher communauté,242900744,CC,"22,29","22,29",53,16264
CC des Lacs et Montagnes du Haut-Doubs,200069565,CC,25,025,27,16305
CC du Bazadais,200043982,CC,33,033,75,16306
CC du Val de l'Oise,200040426,CC,02,002,32,16345
CC Cœur de Lozère,244800405,CC,48,048,76,16348
CC Mâconnais - Tournugeois,200069698,CC,71,071,27,16390
CC Domfront Tinchebray Interco,200071520,CC,61,061,28,16392
CC de Haute-Tarentaise,247300254,CC,73,073,84,16395
CC du Pays de Wissembourg,246700926,CC,67,067,44,16399
CC du Val de Vienne,248719288,CC,87,087,75,16420
