siren,nom,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode,ptf,Techno (from Plateformes),Thématiques
212201107,LANMERIN,COM,BRE-53,https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-lanmerin/,1.0,,,,,582.0,48.741851,-3.349098,ptf,22,Mégalis Bretagne,,Citoyenneté
212901136,LANMEUR,COM,BRE-53,https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-lanmeur/,1.0,,,,,2187.0,48.647212,-3.716592,ptf,29,Mégalis Bretagne,,Citoyenneté
212201131,LANNION,COM,BRE-53,http://datarmor.cotesdarmor.fr/web/guest/donnees,7.0,,,,,20815.0,48.732123,-3.45595,ptf,22,Dat'Armor,Hop'n Data,"Administratif, Citoyenneté, Equipements, Environnement"
216403139,LANTABAT,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/61489458d5f7754d3b10b4fb/,3.0,61489458d5f7754d3b10b4fb,,279.0,43.249864,-1.123475,datagouv,64,DataGouv,DataGouv,Equipements
213302300,LAPOUYADE,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/60bf3f485f792de65b2074a5/,3.0,60bf3f485f792de65b2074a5,,500.0,45.08551,-0.28772,datagouv,33,DataGouv,DataGouv,"Administratif, Citoyenneté"
210500716,LARDIER-ET-VALENÇA,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/6036054abe0b09d8b1cee790/,1.0,6036054abe0b09d8b1cee790,,334.0,44.435083,5.981154,datagouv,05,DataGouv,DataGouv,Equipements
215601071,LARMOR PLAGE,COM,BRE-53,https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-larmor-plage/,1.0,,,,,8182.0,47.714755,-3.376302,ptf,56,Mégalis Bretagne,,Citoyenneté
216403196,LARRIBAR-SORHAPURU,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/61e98d49cd8a465a216ee37a/,1.0,61e98d49cd8a465a216ee37a,,192.0,43.292707,-1.013399,datagouv,64,DataGouv,DataGouv,Equipements
213401292,LATTES,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/lattes,27.0,,,,,16567.0,43.568464,3.908284,ptf,34,Montpellier3M,DKAN,"Equipements, Environnement, Economie, Urbanisme, Administratif"
213401342,LAVERUNE,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/lav%C3%A9rune,28.0,,,,,3211.0,43.585478,3.804573,ptf,34,Montpellier3M,DKAN,"Environnement, Economie, Equipements, Administratif, Social, Urbanisme"
210500724,LAYE,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/62304be473e2123059d8ae16/,1.0,62304be473e2123059d8ae16,,234.0,44.640874,6.085763,datagouv,05,DataGouv,DataGouv,Equipements
219101797,LE COUDRAY MONTCEAUX,COM,IDF-11,https://data.coudray-montceaux.fr/explore/?refine.publisher=Mairie+du+Coudray-Montceaux,7.0,,,,Mairie du Coudray-Montceaux,4818.0,48.5657,2.4859,ptf,91,Coudray Montceaux,OpenDataSoft,"Administratif, Citoyenneté"
213400906,LE CRES,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/le-cr%C3%A8s,28.0,,,,,9343.0,43.646497,3.938021,ptf,34,Montpellier3M,DKAN,"Environnement, Economie, Urbanisme, Administratif, Education"
214400491,LE CROISIC,COM,PDL-52,https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Le+Croisic,1.0,,,,Le Croisic,4040.0,47.292,-2.51154,ptf,44,Cap Atlantique,OpenDataSoft,Citoyenneté
