ndeg_siren,adresse,identifiant_unique,montant_subvention,gestion,beneficiaire
403118458.0,30 RUE DE LA MARE 75020 PARIS,2315,19916.63,ASP,AUTRE MONDE
38967510900026.0,81  AV  DE FONTAINEBLEAU ST FARGEAU PONTHIERRY,2320,2200.0,Région IDF,AUX QUATRE COINS DE L ENFANCE
327962981.0,9 RUE GABRIELLE JOSSERAND 93500 PANTIN,2352,9416.7,ASP,BANLIEUES BLEUES
34473197100026.0,15  AVENUE  JEANNE D'ARC ARCUEIL CEDEX,2353,55369.0,Région IDF,BAPIF BANQUE ALIMENTAIRE DE PARIS ET ILE DE FRANCE
48957504300026.0,9 ESPLANADE PIERRE VIDAL NAQUET PARIS,2378,6987.35,Région IDF,BETONSALON
32980385200048.0,44 RUE CAMBRONNE PARIS,2382,50000.0,Région IDF,BGE
49523247200029.0,2 RUE MARTIN LUTHER KING SARTROUVILLE,2383,2200.0,Région IDF,BIB DE RUE - LES INDES
784202897.0,58 RUE DU LOUVRE 75002 PARIS,2398,7600.0,ASP,BJO FORMATION
42193853100017.0,106 AV CHARLES FLOQUET LE BLANC-MESNIL,2410,7000.0,Région IDF,BMS HANDBALL BLANC MESNIL SPORT HANDBALL
32250551200044.0,18  RUE DU FAUBOURG DU TEMPLE PARIS 11,2425,12500.0,Région IDF,BOUTIQUES DE GESTION PARIS IDF
32250551200044.0,18  RUE DU FAUBOURG DU TEMPLE PARIS 11,2431,4000.0,Région IDF,BOUTIQUES DE GESTION PARIS IDF
32250551200044.0,18  RUE DU FAUBOURG DU TEMPLE PARIS 11,2438,0.0,Région IDF,BOUTIQUES DE GESTION PARIS IDF
32250551200044.0,18  RUE DU FAUBOURG DU TEMPLE PARIS 11,2440,36000.0,Région IDF,BOUTIQUES DE GESTION PARIS IDF
32250551200044.0,18  RUE DU FAUBOURG DU TEMPLE PARIS 11,2443,16000.0,Région IDF,BOUTIQUES DE GESTION PARIS IDF
32250551200044.0,18  RUE DU FAUBOURG DU TEMPLE PARIS 11,2445,30000.0,Région IDF,BOUTIQUES DE GESTION PARIS IDF
32250551200044.0,18  RUE DU FAUBOURG DU TEMPLE PARIS 11,2453,45000.0,Région IDF,BOUTIQUES DE GESTION PARIS IDF
77566214100081.0,10  RUE DU DEBARCADERE PARIS,2458,903000.0,Région IDF,BTP CFA ILE DE FRANCE
77566214100081.0,10  RUE DU DEBARCADERE PARIS,2462,1027000.0,Région IDF,BTP CFA ILE DE FRANCE
77566214100081.0,10  RUE DU DEBARCADERE PARIS,2498,12783.0,Région IDF,BTP CFA ILE DE FRANCE
77566214100081.0,10  RUE DU DEBARCADERE PARIS,2502,604650.0,Région IDF,BTP CFA ILE DE FRANCE
77566214100081.0,10  RUE DU DEBARCADERE PARIS,2504,267480.0,Région IDF,BTP CFA ILE DE FRANCE
48406321900022.0,101 RUE DE LA FONTAINE GRELOT ANTONY,2525,1560.0,Région IDF,C3 CFA
78508829500015.0,18  RUE DE GASSICOURT MANTES LA JOLIE,2527,7000.0,Région IDF,CAC GEORGES BRASSENS
345110662.0,20-22 RUE DUGUAY 95100 ARGENTEUIL,2532,10250.03,ASP,CADIS
35386977900036.0,80 RUE JULES FERRY BAGNOLET,2556,13625.0,Région IDF,CAMPUS FONDERIE DE L'IMAGE
35386977900036.0,80 RUE JULES FERRY BAGNOLET,2557,175.0,Région IDF,CAMPUS FONDERIE DE L'IMAGE
35386977900036.0,80 RUE JULES FERRY BAGNOLET,2559,13625.0,Région IDF,CAMPUS FONDERIE DE L'IMAGE
35386977900036.0,80 RUE JULES FERRY BAGNOLET,2566,1376000.0,Région IDF,CAMPUS FONDERIE DE L'IMAGE
40199109600025.0,61  RUE CLAUDE JEAN ROMAIN LE PERREUX SUR MARNE,2572,17500.0,Région IDF,CANTABILE
48974929100022.0,74 RUE DU FAUBOURG SAINT ANTOINE PARIS,2582,455.62,Région IDF,CAP DIGITAL IMVN
327311460.0,9 RUE DU DOCTEUR POTAIN 75019 PARIS,2611,10083.26,ASP,CD USEP PARIS
44783380700012.0,44 AV DE PARIS PARMAIN,2612,1500.0,Région IDF,CDC 95 COM DPT CYCLISME 95
40900342300038.0,93 BD DE LA SEINE NANTERRE,2636,31150.0,Région IDF,CEFIPA CTRE FORMAT INGENIEURS PAR L ALTERNANCE
51321234000014.0,20 RUE EDOUARD PAILLERON PARIS,2642,7000.0,Région IDF,CELE ASSOCIATION COLLEGE DE L'EMERGENCE DES LEADERS & ENTREPRENEURS
77568560500013.0,101  Q   BRANLY PARIS 15 CEDEX,2668,23895.67,Région IDF,CENTRE D INFORMATION ET DE DOCUMENTATION JEUNESSE
33837417600026.0,LA MANUFACTURE DES OEILLETS IVRY S/SEINE,2679,7600.0,Région IDF,CENTRE D'ART CONTEMPORAIN D'IVRY - CREDAC
79041326400017.0,47 RUE DU GARDE CHASSE LES LILAS,2694,183745.59,Région IDF,CENTRE DENTAIRE HOCHE
51471394000021.0,7 IMPASSE MILORD PARIS,2701,325800.0,Région IDF,CENTRE FRANCILIEN DE RESSOURCES POUR L EGALITE FEMMES HOMMES
332417005.0,PLACE DU BOIS DE GRACE 77420 CHAMPS-SUR-MARNE,2710,26249.94,ASP,CENTRE SOCIAL CULT G BRASSENS
303557748.0,11 RUE JULES MICHELET 92700 COLOMBES,2711,33749.86,ASP,CENTRE SOCIAL CULTUREL DES FOSSES JEAN
48048335300029.0,22 ALLEE FERNAND LINDET CLICHY-SOUS-BOIS,2713,2569.33,Région IDF,CENTRE SOCIAL DU BAS CLICHY L'ORANGE BLEUE
32995224600018.0,1 BIS RUE DES SORBIERS NANTERRE,2718,1450.0,Région IDF,CENTRE SOCIAL ET CULTUREL DES ACACIAS
44062157100015.0,107 BIS RUE DU FAUBOURG SAINT-DENIS PARIS 10,2725,3196.48,Région IDF,CENTRE SOCIAL LE PARI'S DES FAUBOURGS
77569235300037.0,15  RUE JACQUES BINGEN PARIS 17,2755,13625.0,Région IDF,CEPROC  CTRE FORM APPREN TIS CHARCUTERIE
48500720700015.0,PLACE JEAN MOULIN DOURDAN,2769,3728.77,Région IDF,CERCLE D ESCRIME DOURDAN
399867795.0,54 RUE AMEDEE DUNOIS 93190 LIVRY-GARGAN,2772,833.37,ASP,CERCLE D'ESCRIME JEAN MORET
34182077700033.0,2 RUE LACAZE PARIS 14,2788,5504000.0,Région IDF,CERFAL CENTRE REGIONAL DE FORMATION MULTIPROFESSIONNEL
34182077700033.0,2 RUE LACAZE PARIS 14,2789,40875.0,Région IDF,CERFAL CENTRE REGIONAL DE FORMATION MULTIPROFESSIONNEL
34182077700033.0,2 RUE LACAZE PARIS 14,2802,67485.0,Région IDF,CERFAL CENTRE REGIONAL DE FORMATION MULTIPROFESSIONNEL
30939794100027.0,1 RUE PIERRE DE COUBERTIN PONTOISE,2804,4770.4,Région IDF,CERGY PONTOISE NATATION
30939794100027.0,1 RUE PIERRE DE COUBERTIN PONTOISE,2805,13000.0,Région IDF,CERGY PONTOISE NATATION
309397941.0,HALL OMNISPORTS 1 RUE PIERRE DE COURBERTIN 95300 PONTOISE,2806,2000.0,ASP,CERGY PONTOISE NATATION
49774328600021.0,43 BOULEVARD HAUSSMANN PARIS 09,2818,814800.0,Région IDF,CERVIA
45210208000028.0,93 BD DE LA SEINE NANTERRE,2823,13578.0,Région IDF,CESFA BTP CTRE SUPERIEUR FORMAT APPRENTISSAGE BTP
50986720600013.0,74  RUE DU FBG ST ANTOINE PARIS,2874,1840000.0,Région IDF,CFI CENTRE FRANCILIEN DE L' INNOVATION
43523742500036.0,19 rue de l'Amiral d'Estaing PARIS,2888,8672.74,Région IDF,CGPME IDF FED REGION PME ET PMI DE PARIS IDF
77567164700011.0,102  RUE DU FG SAINT-HONORE PARIS 08,2900,104000.0,Région IDF,CHAM SYND COUTURE PARIS
33764848900041.0,6 CHE DES MECHES CRETEIL,2915,252881.0,Région IDF,CHAMBRE APPRENTISSAGE PEINTURE
43865975700035.0,6 RUE ARNOLD GERAUX L'ILE-SAINT-DENIS,2921,24678.84,Région IDF,CHANTIER ECOLE ILE-DE-FRANCE
42143242800017.0,43 RUE DU GENERAL DE GAULLE LE TREMBLAY SUR MAULDRE,2928,9291.0,Région IDF,CHEP CENT HORTICOLE PRIVE ENSEIGNEMENT PROMOT LYCEE PRIVE
33029636900029.0,2 BIS RUE DU PARC LOGNES,2964,3000.0,Région IDF,CIDFF 77 CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES LOGNES
33029636900029.0,2 BIS RUE DU PARC LOGNES,2967,2000.0,Région IDF,CIDFF 77 CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES LOGNES
33029636900029.0,2 BIS RUE DU PARC LOGNES,2971,5485.35,Région IDF,CIDFF 77 CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES LOGNES
33032925100046.0,17  COURS BLAISE PASCAL EVRY,2976,4603.37,Région IDF,CIDFF 91 - CENTRE D'INFORMATION DROITS DES FEMMES ET FAMILLES
38889430500050.0,37 B BD DE LA CHAPELLE PARIS,2996,48500.0,Région IDF,CIE LOUIS BROUILLARD
31742597300011.0,1  PL  DES ARTS         BP 315 CERGY PONTOISE CEDEX,3010,1245.29,Région IDF,CIJ 95  CTRE INFORMATION JEUNESSE
491459285.0,54 RUE JEAN BAPTISTE PIGALLE 75009 PARIS,3061,4583.3,ASP,CLASS HANDICAP
352400436.0,2 B RUE JULES FERRY 93100 MONTREUIL,3067,10250.04,ASP,CLER
775696990.0,41 RUE DIDOT 75014 PARIS,3071,28583.26,ASP,CLJT
37955286200011.0,21 AVENUE PAUL LANGEVIN MONTREUIL,3088,10000.0,Région IDF,CLUB ATHLETIQUE DE MONTREUIL
414258020.0,49 AV DU CONSUL GENERAL NORDLING 93190 LIVRY-GARGAN,3109,10833.28,ASP,CLUB NAUTIQUE LIVRY GARGAN
31742600500011.0,31 RUE DE CHATEAU LANDON PARIS 10,3113,37100.0,Région IDF,CLUB RECHERCHE & LOISIRS
53871501200018.0,LE CARBONE 14 PARIS,3156,15000.0,Région IDF,COLLECTIF CULTURE BAR-BARS PARIS/IDF
432274967.0,27 RUE FRAGONARD 78200 MANTES-LA-JOLIE,3157,12250.0,ASP,COLLECTIF DES AINES
39030762700039.0,21 TER RUE VOLTAIRE PARIS,3162,14003.16,Région IDF,COLLECTIF HAITI DE FRANCE
30552340900038.0,15  BD  GABRIEL PERI CHAMPIGNY SUR MARNE,3169,28000.0,Région IDF,COLLECTIF MUSIC INTERNAT IONAL
43460246200021.0,9 SQUARE DE CHAMPAGNE NOISIEL,3173,13500.0,Région IDF,COLLECTIF MXM
48353142200028.0,BOITE AUX LETTRES 7 PANTIN,3178,12000.0,Région IDF,COLLECTIF SURNATURAL
32845916900020.0,1   RUE DESCARTES PARIS 05,3183,4000.0,Région IDF,COLLEGE INTERNATIONAL DE PHILOSOPHIE
53054968200017.0,162 RUE DE PARIS PALAISEAU,3194,4032.5,Région IDF,COMEDIE DES ONDES
43935740100017.0,25 AVENUE DE LA PORTE DE CHATILLON PARIS 14,3207,21000.0,Région IDF,COMI JUDO IDF
32229484400038.0,4  PL  GABRIEL PERI SEVRES,3214,17071.0,Région IDF,COMI REG IDF GYMN OUEST CRIFO
44381914900016.0,30  RUE CHAPSAL JOINVILLE LE PONT,3217,8699.6,Région IDF,COMI REG IDF TAEKWONDO
42483246700015.0,6 RUE GUYNEMER LES LILAS,3225,242919.17,Région IDF,COMITE D'ILE DE FRANCE DE LUTTE
318100070.0,34 RUE HENRI VARAGNAT 93140 BONDY,3240,3333.36,ASP,COMITE DEPARTEMENTAL DE HANDBALL 93
51156911300018.0,35 AV CLEMENT PERRIERE CHATILLON,3242,13697.0,Région IDF,COMITE DEPARTEMENTAL DE RUGBY A XIII DES HAUTS DE SEINE
403732746.0,7 PLACE DU GENERAL DE GAULLE 93220 GAGNY,3248,833.37,ASP,COMITE DEPARTEMENTAL DE VOLLEY BALL DU 93
38956388300021.0,44 RUE LOUIS LUMIERE PARIS 20,3268,16849.44,Région IDF,COMITE HANDISPORT ILE-DE-FRANCE
40062091000036.0,69/71 RUE AMELOT PARIS 11,3278,10000.0,Région IDF,COMITE ILE-DE-FRANCE DE DANSE
43865870000010.0,56  RUE DES RENAUDES PARIS 17,3298,31854.15,Région IDF,COMITE REGIONAL D'EQUITATION D'ILE DE FRANCE
344827340.0,3 RUE MARCEAU 78800 HOUILLES,3312,14681.2,ASP,COMITE REGIONAL EPMM SPORTS POUR TOUS
412045585.0,AVENUE DU NOYER LAMBERT 91300 MASSY,3314,15295.54,ASP,COMITE REGIONAL IDF MONTAGNE ESCALADE
41836047500028.0,47 QUAI LOUIS FERBER BRY-SUR-MARNE,3317,15833.93,Région IDF,COMITE REGIONAL ILE DE FRANCE DE CANOE KAYAK
390086460.0,17 RUE DE LORRAINE 93200 SAINT-DENIS,3328,15000.0,ASP,COMMUNAUTAIRE SANTE BIEN ETRE
31291039100035.0,13  RUE PIERRE SEMARD VITRY S/SEINE,3336,25500.0,Région IDF,COMPAGNIE DE LA GARE
40900038700046.0,99 RUE DU FAUBOURG SAINT MARTIN PARIS,3340,35000.0,Région IDF,COMPAGNIE DES HOMMES
48915274400020.0,EPS DE VILLE-EVRARD NEUILLY-SUR-MARNE,3342,31023.65,Région IDF,COMPAGNIE DESAMORCE
34960486800035.0,56B BOULEVARD CARNOT LE VESINET,3354,21000.0,Région IDF,COMPAGNIE DU MATAMORE
40978772800016.0,5   RUE PERNETY PARIS 14,3356,24500.0,Région IDF,COMPAGNIE DU SAMOVAR
40812471700039.0,115 RUE DE MENILMONTANT PARIS,3375,7276.05,Région IDF,COMPAGNIE LES TOUPIES
34467163100051.0,53  RUE DE MERLAN NOISY LE SEC,3381,27567.0,Région IDF,COMPAGNIE OPOSITO
519460364.0,CHEMIN DE LA RONCE 91460 MARCOUSSIS,3428,5000.0,ASP,CONSERVERIE COOPERATIVE DE MARCOUSSIS
45048154400010.0,8 PASSAGE SCHNEIDER RUEIL MALMAISON,3432,6263.41,Région IDF,CONTROLE Z
79121506400019.0,144 BD DE LA VILETTE PARIS,3446,81707.0,Région IDF,COORDINATION SOLIDAIRES ILE DE FRANCE
775657570.0,14 RUE DU MIDI 93100 MONTREUIL,3459,30400.01,ASP,COS LES SUREAUX
442929568.0,RUE ERNEST DESSAINT 77120 COULOMMIERS,3463,12833.32,ASP,COULOMMIERS BRIE BASKET
484593314.0,52 RUE DE STRASBOURG 92400 COURBEVOIE,3469,13750.0,ASP,COURBEVOIE SPORTS VOLLEY BALL
43219258100028.0,13  RUE DENIS PAPIN TRAPPES,3483,13625.0,Région IDF,CPO APPRENTISSAGE BTP
44521742500021.0,190 RUE LECOURBE PARIS,3490,13846.0,Région IDF,CQFD ASSOCIATION CEUX QUI FONT LE DEFISTIVAL
38766928600032.0,85  RUE ANATOLE FRANCE AULNAY /S BOIS,3502,21000.0,Région IDF,CREA CTRE EVEIL ARTISTIQ
394282859.0,18 RUE COUSTE 94230 CACHAN,3511,5833.35,ASP,CREATIONS OMNIVORES
77567227221138.0,98 RUE DIDOT PARIS,3533,859880.0,Région IDF,CRF CROIX ROUGE FRANCAISE
438759441.0,16 RUE ANTOINE THOMAS 94200 IVRY-SUR-SEINE,3538,11666.64,ASP,CRIC
501665921.0,43 BIS ALLEE PARMENTIER 94000 CRETEIL,3551,15000.0,ASP,CRISTOL LUDO
751703430.0,17 RUE DES URSULINES 93200 SAINT-DENIS,3554,14000.0,ASP,CROIX ROUGE INSERTION
40475532400013.0,28 RUE DE LORRAINE MANTES-LA-JOLIE,3565,24000.0,Région IDF,CRY POUR LA MUSIQUE CULTURELLE
41370511200014.0,1 RUE MAUREPAS THIAIS,3580,11467.69,Région IDF,CTE DE BASSIN D EMPLOI SUD VAL DE MARNE
39108721000012.0,2 RUE RENE CASSIN MASSY,3598,10150.0,Région IDF,CTRE FORMAT APPRENTIS ASS INFORMATICIENS CFA DE L AFIA
49165198000022.0,AEROGARE SUD ORLY AEROGARE CEDEX,3614,7558.4,Région IDF,CTRE INT ACCUEIL ENTR POLE ORLY
490080835.0,7 RUE DU DR PESQUE 93300 AUBERVILLIERS,3630,15000.0,ASP,CULTURE ART SOCIETE PRODUCTIONS
52139484100014.0,59 RUE DU GENERAL LECLERC FORGES-LES-BAINS,3650,3750.0,Région IDF,DANAYA
50380411400018.0,MAISON DES ASSOCIATIONS PARIS 12,3661,20000.0,Région IDF,DEAMBULATION
33839855500031.0,77 RUE DES CITES AUBERVILLIERS,3670,16100.0,Région IDF,DECOR SONORE
445235633.0,2 RUE DENFERT ROCHEREAU 93200 SAINT-DENIS,3684,11749.98,ASP,DESTINATION 2055
49018069200033.0,104 RUE EDOUARD VAILLANT MONTREUIL,3693,3000.0,Région IDF,DIALOGUES CITOYENS
49018069200033.0,104 RUE EDOUARD VAILLANT MONTREUIL,3695,2000.0,Région IDF,DIALOGUES CITOYENS
388313348.0,86 RUE PAUL VAILLANT COUTURIER 92230 GENNEVILLIERS,3697,20750.0,ASP,DIALOGUES PARTENAIRES SERVICES DPS SA
44429880600019.0,144 AV  DE FLANDRE,3699,2751.61,Région IDF,DIDATTICA
33532404200019.0,48  RUE DE LA BOETIE PARIS 08,3700,6600.0,Région IDF,DIFCAM
44749747000024.0,58 AVENUE GALLIENI EPINAY-SUR-SEINE,3709,12000.0,Région IDF,DIX MILLE LIEUX
44849591100019.0,66 RUE MONGE PARIS,3717,28000.0,Région IDF,DORENAVANT COMPAGNIE
33027588400022.0,31 RUE DU CHEMIN DE FER CERGY ST CHRISTOPHE,3728,21035.28,Région IDF,DU COTE DES FEMMES
42887047100029.0,BP 13 GUYANCOURT,3741,5537.06,Région IDF,EASQCY ENTENTE ATHLETIQUE SAINT QUENTIN CENTRE YVELINES
78454436300020.0,64  RUE DES PIROGUES DE BERCY PARIS 12,3751,6812.5,Région IDF,EBP  ECOLE BOULANGERIE & PATISSERIE DE PARIS
41809373800015.0,105 AV DE SAINT-MAURICE PARIS,3761,27336.93,Région IDF,ECGAP ECOLE CHIEN GUIDE AVEUGLE PARIS REGPARI
49390266200011.0,48  BD  JOURDAN PARIS 14,3775,27669.24,Région IDF,ECOLE D ECONOMIE DE PARIS PARIS SCHOOLS OF ECONOMICS
518226436.0,87 AVENUE DE LA VICTOIRE 94310 ORLY,3785,498099.52,ASP,ECOLE DE LA DEUXIEME CHANCE DU VAL DE MARNE
78424186100011.0,4B RUE DES ROSIERS PARIS,3793,13625.0,Région IDF,ECOLE DE TRAVAIL ORT CTRE DE FORMATION D APPRENTIS
43449671700019.0,RUELLE DARRAS ST OUEN L'AUMONE,3800,10000.0,Région IDF,ECOLE ET FAMILLE CENTRE DE PROXIMITE ET DE RESSOURCES
784521288.0,CTRE FORMATION APPRENTIS BOUCHERIE 37 BOULEVARD SOULT 75012 PARIS,3816,14726.0,ASP,ECOLE PROFESSIONNELLE DE LA BOUCHERIE DE PARIS
342081510.0,110 RUE DE PICPUS 75012 PARIS,3827,57300.0,ASP,EFET
40849900200025.0,84  RUE QUINCAMPOIX PARIS 03,3839,20000.0,Région IDF,ELCS - ELUS LOCAUX CONTRE LE SIDA
31723624800017.0,32 RUE DES BOURDONNAIS PARIS,3856,1965.38,Région IDF,EMMAUS SOLIDARITE
41819053400036.0,1  RUE LEO LAGRANGE TRAPPES CEDEX,3864,450000.0,Région IDF,EN MOUVEMENT
41819053400036.0,1  RUE LEO LAGRANGE TRAPPES CEDEX,3866,9173.0,Région IDF,EN MOUVEMENT
52866763700011.0,53 RUE COMPANS PARIS,3874,3750.0,Région IDF,ENBE GNONKONDEMENT E N B E
37960292300029.0,"5, rue des Immeubles industriels PARIS",3875,10000.0,Région IDF,ENDA EUROPE
484223094.0,9-11 AVENUE DE VILLARS 75007 PARIS,3879,38499.88,ASP,ENERCOOP
51865862000019.0,95 BD HAUSSMANN PARIS,3886,8830.0,Région IDF,ENSAE BAE ENSAE BUSINESS ANGELS ET ENTREPRENEURS
433508314.0,69 RUE MICHELET 93100 MONTREUIL,3887,16250.0,ASP,ENSEMBLE CONTRE LA PEINE DE MORT
444796635.0,ROUTE DE MONTEREAU 77670 VERNOU-LA-CELLE-SUR-SEINE,3888,8750.0,ASP,ENSEMBLE ENVIRONNEMENT AIP
33967112500054.0,8   RUE DES ANCIENNES MAIRIES NANTERRE,3889,22400.0,Région IDF,ENSEMBLE INSTRUM TM PLUS
491955886.0,16 RUE RAYMOND POINCARE 78220 VIROFLAY,3896,30416.65,ASP,ENSEMBLE2 GENRATIONS
785817263.0,17 ALLEE DU COTEAU 94400 VITRY-SUR-SEINE,3903,13750.0,ASP,ENTENTE SPORTIVE DE VITRY
418336632.0,17 RUE EDOUARD VAILLANT 77390 VERNEUIL-L'ETANG,3915,16000.0,ASP,ENTREPRISE INSERTION DE RENOVATION
75213900600015.0,17 RUE ROGER HENNEQUIN TRAPPES,3918,25000.0,Région IDF,ENVIE TRAPPES EN YVELINES
41845480700037.0,7 IMP DES PECHERIES LE PECQ,3932,4096.0,Région IDF,EPICENTRE TELEWORK
48424392800013.0,76 RUE DES RONDEAUX PARIS,3936,973.97,Région IDF,EPS SOC CTRE NAL D INFORMAT D ETUDES
32228389600049.0,251 RUE DE CRIMEE PARIS,3956,7128.0,Région IDF,ESPACE 19
322283896.0,251 RUE DE LA CRIMEE 75019 PARIS,3966,15000.0,ASP,ESPACE 19
305522161.0,361AV DU VIRCORS 77350 MEE-SUR-SEINE,3971,15000.0,ASP,ESPACE CORDIER MJC
40535243600019.0,AV  JEAN BERANGER MARLY LE ROI,3978,4176.0,Région IDF,ESPACE JEUNES MARLY ROI
32345027000091.0,1 ANCIENNE ROUTE DE ROUEN PONTOISE,3986,685.18,Région IDF,ESPACE SOCIAL EDUCATION REINSERTION REFLEXION ESPERER 95
32345027000091.0,1 ANCIENNE ROUTE DE ROUEN PONTOISE,3988,2819.76,Région IDF,ESPACE SOCIAL EDUCATION REINSERTION REFLEXION ESPERER 95
491530275.0,2 COURS MONSEIGNEUR ROMERO 91000 EVRY,4001,13500.0,ASP,ESSONNE ACTIVE
349075150.0,44 RUE PAUL LESCOP 92000 NANTERRE,4007,16000.0,ASP,ESSOR
43751219700025.0,258  RUE MARCADET PARIS 18,4018,10800.0,Région IDF,ETHNOLOGUES EN HERBE
44066204700016.0,10 PLACE JULES VALLES EVRY,4031,6000.0,Région IDF,ETUDES ET CHANTIERS IDF
44066204700016.0,10 PLACE JULES VALLES EVRY,4037,14368.87,Région IDF,ETUDES ET CHANTIERS IDF
44066204700016.0,10 PLACE JULES VALLES EVRY,4048,4208.0,Région IDF,ETUDES ET CHANTIERS IDF
44066204700016.0,10 PLACE JULES VALLES EVRY,4049,4836.83,Région IDF,ETUDES ET CHANTIERS IDF
44066204700016.0,10 PLACE JULES VALLES EVRY,4053,7425.61,Région IDF,ETUDES ET CHANTIERS IDF
50262927200027.0,22 RUE DEPARCIEUX PARIS,4064,10000.0,Région IDF,EVROPA FILMAKT L EUROPE AUTOUR DE L EUROPE
42470291800048.0,4 RUE DES CHARMES TRAPPES,4072,2500.0,Région IDF,FACE SAINT QUENTIN EN YVELINES
42470291800048.0,4 RUE DES CHARMES TRAPPES,4073,5600.0,Région IDF,FACE SAINT QUENTIN EN YVELINES
42470291800048.0,4 RUE DES CHARMES TRAPPES,4074,860.8,Région IDF,FACE SAINT QUENTIN EN YVELINES
45235951600013.0,3 CHEMIN DE LA GRANGE FEU LOUIS EVRY,4083,221760.0,Région IDF,FACULTE DES METIERS ESSONNE
530550144.0,8 RUE LECLUSE 75017 PARIS,4093,15000.0,ASP,FAIR E UN MONDE EQUITABLE
523197523.0,1 ALLEE DES PERVENCHES 77000 VAUX-LE-PENIL,4100,15000.0,ASP,FAMILLES LAIQUES DE VAUX LE PENIL
49296343400013.0,6 AVENUE DU PROFESSEUR LEMIERE PARIS,4102,12742.07,Région IDF,FAPIL ILE DE FRANCE
78426339400057.0,58 RUE DES AMANDIERS PARIS 20,4114,8000.0,Région IDF,FASTI - FEDERATION DES ASSOCIATIONS DE SOLIDARITE AVEC LES TRAVAILLEURS IMMIGRES
45002916000022.0,5 RUE PERREE PARIS,4117,2969.76,Région IDF,FATMA & CIE
78477959700029.0,143  AV  JEAN-JAURES PARIS 19,4119,13625.0,Région IDF,FCMB FED COMP METIER BAT
78477959700029.0,143  AV  JEAN-JAURES PARIS 19,4126,129078.0,Région IDF,FCMB FED COMP METIER BAT
51835366900014.0,42 RUE DE MONTREUIL PARIS 11,4147,11269.24,Région IDF,FEDERATION DES RADIOS ASSOCIATIVES D'ILE DE FRANCE FRADIF
78471701900037.0,8 RUE BERNARD BUFFET PARIS,4152,10240.0,Région IDF,FEDERATION FRANCAISE CARROSSERIE
423251529.0,MME BOTTECHIA NICOLE 95 RUE JULES FERRY 92700 COLOMBES,4159,1000.0,ASP,FEDERATION FRANCAISE DE BOWLING ET SPORTS DE QUILL
78454476900028.0,62  RUE GABRIEL PERI GENTILLY CEDEX,4163,25000.0,Région IDF,FEDERATION FRANCAISE DE HANDBALL
78444870600043.0,2 RUE LOUIS PERGAUD MAISONS-ALFORT,4172,8400.0,Région IDF,FEDERATION FRANCAISE LUTTE
50386654300021.0,26 RUE DU CHEMIN VERT PARIS,4178,349.13,Région IDF,FEDERATION PIONNIERES
33222642200019.0,3 RUE DU LANGUEDOC SAINT DENIS,4184,937.6,Région IDF,FEMMES DES FRANCS MOISINS
785524851.0,12 AVENUE EDOUARD VAILLANT 93000 BOBIGNY,4189,10583.32,ASP,FEMMES SOLIDAIRES
41150392300020.0,23 ALLEE DE LA DEUXIEME DB PARIS,4202,1411.49,Région IDF,FEST INTERNAT FILM FERROVIAIRE
53272762500016.0,14 RUE DE LA PAIX MONTIGNY-LES-CORMEILLES,4216,7884.64,Région IDF,FESTIVAL IMAGES DIVERSITES ET EGALITE
33276100600011.0,"16, place de la Légion d'honneur ST DENIS",4222,24000.0,Région IDF,FESTIVAL SAINT-DENIS
48534098800016.0,51 RUE DES RIGOLES PARIS 20,4229,10000.0,Région IDF,FETART
34930533400048.0,21 TER RUE VOLTAIRE PARIS,4258,12000.0,Région IDF,FIAISM FEMMES INTER ASSOCIATION ISM
419725601.0,5-9 PLACE MARCEL PAUL 75014 PARIS,4282,10749.96,ASP,FLORIMONT
38434214300037.0,10-18 RUE DES TERRES AU CURE PARIS,4288,407548.4,Région IDF,FNARS IDF - FEDERATION NATIONALE DES ASSOCIATIONS D'ACCUEIL ET DE REINSERTION SOCIALE
39074560200032.0,84 RUE VILLENEUVE CLICHY,4306,1317.4,Région IDF,FODIPEG ASS FORMAT DISTRI PRODUIT ELECTRO GD PUB
39074560200032.0,84 RUE VILLENEUVE CLICHY,4308,6812.5,Région IDF,FODIPEG ASS FORMAT DISTRI PRODUIT ELECTRO GD PUB
52885548900019.0,118 B RUE DE JAVEL PARIS 15,4343,122736.0,Région IDF,FONDATION EFOM BORIS DOLTO
30250737100011.0,19  RUE JEAN LURCAT SARCELLES,4356,624832.4,Région IDF,FONDATION LEONIE CHAPTAL
77569476300050.0,16 RUE DU GENERAL BRUNET PARIS,4366,10382.16,Région IDF,FONDATION MAISON DES CHAMPS DE SAINT FRANCOIS D ASSISE
50383576100019.0,46-48 RUE DE LAGNY MONTREUIL,4422,174512.0,Région IDF,FORMAPOSTE ILE DE FRANCE
50383576100019.0,46-48 RUE DE LAGNY MONTREUIL,4425,6812.5,Région IDF,FORMAPOSTE ILE DE FRANCE
42071817300057.0,4   RUE BLAISE DESGLOTTE PARIS 06,4429,14389.67,Région IDF,FORMASUP
42071817300057.0,4   RUE BLAISE DESGLOTTE PARIS 06,4434,202.9,Région IDF,FORMASUP
