ndeg_siren,adresse,identifiant_unique,montant_subvention,gestion,beneficiaire
31804341100046.0,ALL DE JARDY      BP 70 419 GOUVIEUX,423,6222.0,Région IDF,AFASEC  ASS FORM ACTION SOCIALE ECURIE COURSES
40248430700119.0,36  RUE DU SENTIER PARIS 02 CEDEX,435,2143000.0,Région IDF,AFC  ASS FORM COIFFURE
41298449400010.0,84 BD  HELOISE ARGENTEUIL CEDEX,455,6054.0,Région IDF,AFFIDA
412984494.0,84 BOULEVARD HELOISE 95100 ARGENTEUIL,458,94045.6,ASP,AFFIDA
48390292000014.0,8 RUE CEPRE PARIS,460,131389.71,Région IDF,AFG
38391659000052.0,12  RUE ALEXANDRE PARODI PARIS 10,462,90946.26,Région IDF,AFGD  ASS FORM GRD DIST
38391659000052.0,12  RUE ALEXANDRE PARODI PARIS 10,471,1051000.0,Région IDF,AFGD  ASS FORM GRD DIST
40267040000025.0,18  RUE HOCHE PUTEAUX,475,97220.0,Région IDF,AFI 24  ASS FORM INDUST CHIMIQUES PARACHIMIQUE
400174439.0,10 IMPASSE ROBIQUET 75006 PARIS,484,10916.64,ASP,AFIJ
38470641200036.0,10  RUE CARNOT MELUN,491,27000.0,Région IDF,AFILE 77
38470641200036.0,10  RUE CARNOT MELUN,495,35200.0,Région IDF,AFILE 77
38470641200036.0,10  RUE CARNOT MELUN,496,18200.0,Région IDF,AFILE 77
38470641200036.0,10  RUE CARNOT MELUN,499,3640.0,Région IDF,AFILE 77
38909535700023.0,7B     ENCLOS DE L'ABBAYE POISSY,503,42912.0,Région IDF,AFIPE ASS FORM INTERPROF PE
40989592700013.0,DOM DE VILGENIS MASSY,521,5600.0,Région IDF,AFMAE
40989592700013.0,DOM DE VILGENIS MASSY,523,11200.0,Région IDF,AFMAE
40989592700013.0,DOM DE VILGENIS MASSY,526,19476.0,Région IDF,AFMAE
34088342000036.0,12 RUE RUBENS PARIS 13,544,2112.0,Région IDF,AFOMAV ASSOCIATION FORMATION METIERS AUDIO VISUEL
34088342000036.0,12 RUE RUBENS PARIS 13,545,5888.0,Région IDF,AFOMAV ASSOCIATION FORMATION METIERS AUDIO VISUEL
78466255300113.0,150-156 RUE DU MARECHAL LECLERC SAINT-MAURICE,578,280534.0,Région IDF,AFORPA ASSOC REGIONALE POUR FORMATION PROF AUTO
30059912300019.0,13  PL  DU GENERAL DE GAULLE MONTREUIL CEDEX,582,0.0,Région IDF,AFPA  ASS NALE FORM PROF ADULTES
75314248800018.0,25 RUE JEAN LOUIS GENTILLY,614,2827.85,Région IDF,AFPS ASSOCIATION FRANCE PALESTINE SOLIDARITE
78870625700011.0,21 T RUE VOLTAIRE PARIS,615,2083.69,Région IDF,AFPS PARIS CENTRE
400490405.0,96 RUE DIDOT 75014 PARIS,639,15000.0,ASP,AFTC IDF PARIS
39107691600025.0,RD  128 ORSAY CEDEX,641,34280.0,Région IDF,AFTI  ASS FORM TECH INDU CFA ETGL
39107691600025.0,RD  128 ORSAY CEDEX,645,757000.0,Région IDF,AFTI  ASS FORM TECH INDU CFA ETGL
78497060000051.0,9 RUE ROYALE FONTAINEBLEAU,673,5712.0,Région IDF,AGENCE DE DEVELOPPEMENT ET DE RESERVATION TOURISTIQUES DE SEINE ET MARNE
434702783.0,6 RUE HAROUN TARZIEFF 78114 MAGNY-LES-HAMEAUX,683,13833.32,ASP,AGENCE LOCALE DE MAITRISE DE L'ENERGIE
38511117400079.0,39 RUE DE WATTIGNIES PARIS,690,2686.62,Région IDF,AGENCE NUMERIQUE ILE-DE-FRANCE LA FONDERIE
45100355200028.0,4   RUE JEAN RAYNAL MORSANG-SUR-ORGE,694,37000.0,Région IDF,AGENCE URBA DEV 91 SEINE ORGE
40292484900027.0,48  CRS BLAISE PASCAL EVRY CEDEX,709,2924000.0,Région IDF,AGESUP  ASS PROMO GES TION CTRE ENS SUP A EVRY
38464485200012.0,2 ALLEE DE COLMAR ROSNY-SOUS-BOIS,711,3783.99,Région IDF,AGG ASSOCIATION DE GESTION GLOBALE DES CENTRES SOCIOCULTURELS DE ROSNY-SOUS-BOIS
41932749900036.0,2 RUE DU NORD PARIS,713,6941.75,Région IDF,AGIR POUR L ENVIRONNEMENT
309755346.0,MISSION LOCALE CERGY 18 RUE DE LA BASTIDE 95802 CERGY,715,419405.96,ASP,AGIR POUR LA VALORISATION POUR L EMPLOI ET LES COM
51088447100010.0,9 RUE VESALE PARIS,718,5337.0,Région IDF,AGITEA
40064434000020.0,170 RUE DU GENERAL DE GAULLE MONTIGNY-LES-CORMEILLES,721,1585.0,Région IDF,AGOIE ASSOCIATION POUR LA GESTION D'OUTILS D'INSERT ECONOMIQUE
31725143700057.0,56  RUE CHARLES BRAS EMERAINVILLE,725,276254.85,Région IDF,AGOS ASSOCIATION GESTION OEUVRES SOCIALES
31725143700057.0,56  RUE CHARLES BRAS EMERAINVILLE,726,168689.62,Région IDF,AGOS ASSOCIATION GESTION OEUVRES SOCIALES
43753681600022.0,7 BIS RUE RIQUET PARIS,732,102768.33,Région IDF,AGRIC BIO REG ILE FRANCE GPT G A B REG
39302278500017.0,17  RUE EDOUARD VAILLANT VERNEUIL L'ETANG,750,19455.03,Région IDF,AIPI - ATELIERS INITIATION PRODUCTION INSERTION
348520164.0,33 RUE DE LA COLONIE 75013 PARIS,771,24999.94,ASP,ALIF
440222842.0,102 RUE AMELOT 75011 PARIS,777,36499.97,ASP,ALTER MUNDI
48907905300018.0,14 PAS DUBAIL PARIS,784,14892.76,Région IDF,ALTERMONDES INFORMATION
38813969300021.0,26  RUE DU RENARD PARIS 04,796,48000.0,Région IDF,AMIF ASS DES MAIRES IDF
51812015900018.0,105 RUE ANDRE KARMAN AUBERVILLIERS,808,4836.3,Région IDF,ANA-ASSOCIATION NOTRE AVENIR-LYC CHNE OR
53100918100011.0,9 PLACE DE BELGIQUE LA GARENNE-COLOMBES,812,20000.0,Région IDF,ANAF ASSOCIATION NATIONALE DES APPRENTIS DE FRANCE
389962358.0,22 RUE DEPARCIEUX 75014 PARIS,813,15000.0,ASP,ANCIC
43771180700044.0,12  RUE EULER PARIS 08,817,28572.0,Région IDF,ANDES    ASSOCIATION NATIONALE DE DEVELOPPEMENT DES EPICERIES SOLIDAIRES
52875765100013.0,10 PL LEON BLUM PARIS 11,827,43307.0,Région IDF,ANIMAL PRO FORMATION
52875765100013.0,10 PL LEON BLUM PARIS 11,829,6812.5,Région IDF,ANIMAL PRO FORMATION
77566202600019.0,82  RUE DE L'HOTEL DE VILLE PARIS 04,854,6812.5,Région IDF,AOCDTF  ASS OUV COMP DEV OIR TOUR FRANC
33139771100044.0,1 RUE MAURICE ARNOUX MONTROUGE,861,849.14,Région IDF,AOI  AIDE ODONTOLOGIQUE INTERNATIONALE
42223954100036.0,57 RUE BOBILOT PARIS,866,11392.82,Région IDF,AOUT SECOURS ALIMENTAIRE
418470225.0,14 ROUTE DU TILLEUL 78125 RAIZEUX,868,5166.68,ASP,APAF
38502051600014.0,228 RUE DE VAUGIRARD PARIS 15,888,3500.0,Région IDF,APCE 75 ASSOCIATION POUR LE COUPLE ET L'ENFANT
33978135300059.0,8 ALLEE BOURVIL CRETEIL,891,162.34,Région IDF,APCE 94 ASSOCIATION FEDERALE POUR LE COUPLE ET L'ENFANT CRETEIL
33978135300059.0,8 ALLEE BOURVIL CRETEIL,892,821.34,Région IDF,APCE 94 ASSOCIATION FEDERALE POUR LE COUPLE ET L'ENFANT CRETEIL
77574394100095.0,1 IMP DU PETIT MOULIN PERSAN,901,101996.6,Région IDF,APED ESPOIR PARENTS ENFANTS DEFICIENTS
49433977300017.0,ECOEFF 2 A 20 AVENUE ALLENDE MONTREUIL,902,24355.54,Région IDF,APEDEC ASSO PROFESSIONNELLE EXPERTS POUR LE DEVELOPPEMENT DE L'ECO CONCEPTION
49433977300017.0,ECOEFF 2 A 20 AVENUE ALLENDE MONTREUIL,903,10756.07,Région IDF,APEDEC ASSO PROFESSIONNELLE EXPERTS POUR LE DEVELOPPEMENT DE L'ECO CONCEPTION
77568873203099.0,17 BD AUGUSTE BLANQUI PARIS,919,100000.0,Région IDF,APF ASSOCIATION DES PARALYSES DE FRANCE APF
78471379400013.0,20  RUE MEDERIC PARIS,923,81151.94,Région IDF,APHRL  ASS PROF HOTELIER RESTAURAT LIMONADIER
78471379400013.0,20  RUE MEDERIC PARIS,925,18524.0,Région IDF,APHRL  ASS PROF HOTELIER RESTAURAT LIMONADIER
44223410000034.0,2 B PL DE TOURAINE VERSAILLES,938,10500.0,Région IDF,APIDEL ASSOC INSERT DEVEL EMPLOI LOCAL APIDEL
326185584.0,PLACE YOURI GAGARINE 93200 SAINT-DENIS,939,25000.0,ASP,APIJ
32185411900054.0,24 RUE DU COLONEL PICOT MELUN,941,6000.0,Région IDF,APMAD RM C G R M RIVAGE
34357161800028.0,28  RUE DE LA VENIERE      BP75 PROVINS CEDEX,967,19768.85,Région IDF,APS CONTACT
43904185600014.0,145  Q   VOLTAIRE DAMMARIE LES LYS,988,74000.0,Région IDF,AQUIFERE CALCAIRES CHAM PIGNY EN BRIE
30737705100312.0,43 BD DE MAGENTA PARIS,997,4282.37,Région IDF,ARAPEJ  ASSOCIATION REFLEXION ACTION PRISON ET JUSTICE
42062221900012.0,1 CITE DE PARADIS PARIS 10,1020,7812.53,Région IDF,ARDIE ASSOCIATION REGIONALE POUR LE DEVELOPEMENT DE L'INSERTION PAR L'ECONOMIQUE
75032475800010.0,4 RUE DES ALOUETTES ALFORTVILLE,1023,3750.0,Région IDF,ARDUF ASSOCIATION DES RESSORTISSANTS DE DIONGABA UNIFIE EN FRANCE
387682610.0,189 RUE D AUBERVILLIERS 75018 PARIS,1025,57500.0,ASP,ARE SERVICES PARIS
30808968900027.0,9  RUE LA BRUYERE PARIS 09,1045,351450.0,Région IDF,ARIAM IDF
77567631500150.0,41 RUE DURIS PARIS,1054,10000.0,Région IDF,ARIMC IDF  ASS REG INFIRMES MOTEURS CEREBRAUX IDF
53381246700017.0,12 AVENUE DU GROUPE MANOUCHIAN VITRY-SUR-SEINE,1062,2500.0,Région IDF,ARMVMSF ASSOCIATION DES RESSORTISSANTS MALIENS DU VILLAGE DE MOUNTAN SONINKE EN FRANCE
34137381900133.0,103 BOULEVARD HAUSSMANN PARIS 08,1069,12760.82,Région IDF,ARPAD ASSOCIATION DE RESIDENCES POUR PERSONNES AGEES DEPENDANTES
323875674.0,54 RUE DU MOULIN DE PIERRE 92140 CLAMART,1073,184420.6,ASP,ARPEIJE
30470797900064.0,52 RUE DES GRANDES COTES SAINT-OUEN-L'AUMONE,1084,1600.0,Région IDF,ARS ASSOCIATION POUR LA REINSERTION SOCIALE
42100214800045.0,104 RUE D'AUBERVILLIERS PARIS,1089,7182.42,Région IDF,ARS LONGA
43771057700036.0,42-44 RUE DE GERGOVIE PARIS,1097,3265.94,Région IDF,ART EN EXIL
49478941500028.0,85 RUE MYRHA PARIS 18,1105,2000.0,Région IDF,ART KILL ART
507818052.0,27 RUE DES LONGS SILLONS 77700 MAGNY-LE-HONGRE,1110,12250.0,ASP,ARTS DE KORE
77568577900016.0,23 AVENUE DE NEUILLY PARIS 16,1121,11016.05,Région IDF,ARVALIS INST DU VEGETAL
391786084.0,8 RUE DES STADES 78300 POISSY,1128,3750.0,ASP,AS POISSY FOOTBALL
452310527.0,13 RUE ALBERT 1ER 95260 BEAUMONT-SUR-OISE,1132,13750.0,ASP,ASCAT
